name,fmin (Hz),fmax (Hz),F0 25th percentile (Hz),F0 50th percentile (Hz),F0 75th percentile (Hz),F0 Mean (Hz),F0 Delta Mean (Hz),RMS Mean,RMS Delta Mean,Spectral Centroid Mean (Hz),Spectral Centroid Delta Mean (Hz),Adjusted Centroid Mean,HNR Mean,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC Delta1,MFCC Delta2,MFCC Delta3,MFCC Delta4,MFCC Delta5,MFCC Delta6,MFCC Delta7,MFCC Delta8,MFCC Delta9,MFCC Delta10,MFCC Delta11,MFCC Delta12,gender_label
Man00011.wav,85.80717486,466.1637615,92.02109003,156.464662,400.0026452,239.9321805,-1.507722702,0.21727227,-0.000255241,2345.715435,7.550496141,14.29301157,10.81394214,75.3551178,-0.676937699,26.0083847,8.004555702,-36.57242966,-7.281717777,13.11090183,-49.86412048,-3.470922947,-8.728934288,0.668890119,-22.96712875,-0.200985253,-0.05839793,0.090504326,-0.135857567,0.21589084,0.139675394,-0.116588838,-0.038663916,0.096742287,-0.127478614,0.052917924,0.19180876,0
Man00012.wav,179.7306999,1832.621388,200.5789475,200.5789475,200.5789475,394.9312189,0.204717374,0.2019133,-0.000468185,2921.315007,-3.987280745,13.20937321,15.30592471,38.14821243,-26.18446541,-3.270285368,15.48817921,-3.954380989,6.544582367,-6.26166153,-30.35831451,8.549201965,-12.60996914,-7.033426285,-7.421472549,-0.19973886,-0.326382607,-0.514435291,0.388981849,0.391067207,-0.125320986,-0.245496973,0.379000455,0.001501573,-0.314567566,-0.10421063,0.128016919,0
Man00013.wav,58.94754044,234.4321104,111.9227661,118.5780401,124.1860845,133.48549,0.42284937,0.17570215,-0.000450323,2276.550605,9.185860319,19.19344386,10.13794762,94.25762939,-12.56014347,19.12331581,9.960030556,-20.78792,8.18334198,30.98365021,-49.70095062,8.839783669,-4.802258968,12.87800121,-3.328833342,-0.354789019,-0.118777059,-0.687452018,0.174217016,0.24715519,-0.217260599,0.17566815,-0.096792057,-0.374397993,0.106841423,0.038622301,0.065318324,0
Man00014.wav,145.9866917,349.2282314,146.832384,286.9574553,318.5951932,248.1756738,5.234836983,0.24911302,-0.001416735,2860.849663,-2.787697032,13.2013683,9.745253575,54.20321274,-25.59884071,3.976838112,-14.31042099,-18.82449532,-24.32324219,4.341470718,-22.73135757,5.613131523,-19.86200333,-3.53497839,-10.86158943,0.307102442,1.350247979,-0.765977681,0.407720864,0.148650691,-0.362259597,0.649336696,-0.089836366,-0.165202528,-0.54908669,0.259782881,-0.366897166,0
Man00015.wav,57.60117676,57.93485698,57.60117676,57.93485698,57.93485698,57.81351871,-0.030190115,0.102262996,-0.010438251,1729.296747,-163.0621381,29.89843326,8.897951929,128.2780762,18.63465691,4.108575821,-23.76703072,-68.98544312,-10.19983578,7.708452702,-31.94454002,1.693256021,-5.888384342,-15.57034588,-2.991351843,9.438139915,4.936993122,-1.674657822,0.094200484,0.316200763,1.505177975,2.928917885,-0.962944508,-6.189533234,0.183628127,1.057894349,0.654846847,0
Man00016.wav,56.93957081,252.7136381,200.5789475,234.4321104,249.8109744,208.0874579,-0.382197749,0.18391348,-0.000437357,2191.459987,6.995964433,13.04356725,10.66816232,83.85046387,-17.1348896,42.66136932,-17.95443726,-45.91067886,10.48882961,14.9369936,-37.98748779,14.65052414,-7.289204597,-8.802099228,-6.646251202,0.018884085,-0.10030558,0.093389466,0.518470049,0.153837025,-0.09254688,-0.300374776,-0.290304124,0.114993908,0.039813008,0.432817429,-0.156130835,0
Man00017.wav,201.7408895,227.7582832,208.8552666,211.2820479,212.5059924,211.914794,-0.132131351,0.14071493,-0.001126165,1659.340944,-5.55696522,7.808280662,12.95065675,98.73139191,13.4966383,62.2333374,-36.5436554,-82.38533783,-23.39537239,31.20643806,-65.65678406,6.575451374,0.341105014,-23.9174633,-27.4789505,-6.75E-05,0.708591104,0.412383735,0.012431204,0.254612118,-0.480069816,-0.055899922,0.286913663,-0.142832458,0.538821757,-0.222974941,-0.35421145,0
Man00018.wav,115.2023535,618.6700483,137.7930882,169.8665919,195.997718,251.9085212,0.530423478,0.10561027,0.000112364,2296.74278,-7.501011902,11.86086021,12.65582721,67.32554626,-48.51963043,-6.824158192,1.236226678,-51.30652237,-28.95623779,1.205117822,-64.21046448,1.949979782,9.869539261,-5.874030113,5.515930653,-0.10271465,-0.811749697,0.475846708,-0.01420128,0.006053405,-0.346120298,-0.067474671,0.194120795,0.291574925,-0.053161513,-0.13752003,-0.050027519,0
Man00019.wav,205.2672581,282.027698,222.5562769,245.5193714,246.9416506,241.9783168,0.172585633,0.15291913,-0.000247073,1953.895759,9.461826111,8.154524332,15.25671062,86.27098846,-26.27258873,5.139842033,-8.02614975,-30.18697739,-15.95030975,-3.61263299,-52.25502014,23.49122429,-11.92872238,-15.65624046,10.8568821,-0.369892985,0.067557253,-0.110657759,-0.048672292,-0.171828941,0.182192504,-0.080600508,-0.04976787,0.133128062,-0.304701686,0.054589644,-0.012188096,0
Man00020.wav,246.9416506,505.4272762,249.8109744,403.481779,420.1303057,359.1118935,0.165317347,0.25268018,-0.000566484,2009.3559,-1.555981441,5.885639699,16.468625,77.40411377,-13.28189564,6.404639721,-36.59700394,-17.61445427,-22.06987762,11.78645039,-39.89816666,3.714565754,-10.77196503,-10.9499855,-5.826994419,0.071612351,0.272696942,0.031455535,0.167690456,-0.252779782,-0.168029755,-0.027209388,-0.121271133,-0.00232975,0.006822983,0.022494743,0.031805668,0
Man00021.wav,65.7852867,640.4874005,244.1537784,251.2581146,535.481546,320.968027,1.033711397,0.18006164,-4.05E-05,1667.499235,0.523545801,8.126469391,12.23344903,104.076149,-11.7697134,15.65119076,-15.83775043,-15.92803574,-14.54623508,4.554944515,-42.05821228,8.77158165,8.109111786,-9.333395958,-0.41289714,-0.142910615,0.099675432,-0.187762618,-0.506808639,0.015588775,0.135646254,-0.158054262,0.223480165,0.076503247,-0.195338041,0.0730794,0.030803123,0
Man00022.wav,502.5162293,505.4272762,502.5162293,502.5162293,505.4272762,503.5887203,-0.076606497,0.252704,-0.000244171,2357.652773,86.80870217,4.68724569,17.00726296,117.0460434,-0.381542593,0.817869067,6.678911209,2.194360971,-1.959810019,-2.734558582,-18.35827637,1.591109395,-6.272814274,-4.106195927,0.118878461,-5.373082638,1.394771576,0.445456892,-0.63902688,-0.545798242,0.841794968,-1.116653919,0.354197085,0.149903208,0.362233937,0.229584411,0.002131049,0
